Date,"(Average Price)
Rs./1000","Rainfall mm 
Kurunagala","Rainfall mm
Puththalam","Rainfall mm
Colombo",,"(Average Price)
Not rounded"
07/04/2020,"43,388",264.3,181.5,245.6,,"43,387.52"
14/04/2020,"44,162",264.3,181.5,245.6,,"44,161.89"
21/04/2020,"43,388",264.3,181.5,245.6,,"43,387.52"
28/04/2020,"44,162",264.3,181.5,245.6,,"44,161.89"
07/05/2020,"44,241",188.3,84.3,392.4,,"44,240.57"
14/05/2020,"47,098",188.3,84.3,392.4,,"47,097.82"
21/05/2020,"50,970",188.3,84.3,392.4,,"50,970.11"
28/05/2020,"50,402",188.3,84.3,392.4,,"50,402.07"
07/06/2020,"48,269",153,44.7,184.9,,"48,269.11"
14/06/2020,"48,118",153,44.7,184.9,,"48,117.79"
21/06/2020,"55,319",153,44.7,184.9,,"55,318.53"
28/06/2020,"55,017",153,44.7,184.9,,"55,017.40"
07/07/2020,"48,743",111.2,16.8,121.9,,"48,743.33"
14/07/2020,"50,268",111.2,16.8,121.9,,"50,268.17"
21/07/2020,"53,628",111.2,16.8,121.9,,"53,628.23"
28/07/2020,"54,505",111.2,16.8,121.9,,"54,505.01"
07/08/2020,"55,115",98,17.1,119.5,,"55,114.60"
14/08/2020,"55,115",98,17.1,119.5,,"55,114.60"
21/08/2020,"56,886",98,17.1,119.5,,"56,885.71"
28/08/2020,"54,592",98,17.1,119.5,,"54,592.41"
07/09/2020,"53,624",165.3,67.8,245.4,,"53,624.48"
14/09/2020,"52,794",165.3,67.8,245.4,,"52,794.35"
21/09/2020,"55,463",165.3,67.8,245.4,,"55,463.44"
28/09/2020,"56,494",165.3,67.8,245.4,,"56,493.75"
07/01/2019,"36,000",0,0.2,15.4,,"36,000"
14/01/2019,"36,000",0,0.2,15.4,,"36,000"
21/01/2019,"36,000",0,0.2,15.4,,"36,000"
28/01/2019,"36,000",0,0.2,15.4,,"36,000"
07/02/2019,"35,000",85.3,122.7,156.9,,"35,000"
14/02/2019,"35,000",85.3,122.7,156.9,,"35,000"
21/02/2019,"35,000",85.3,122.7,156.9,,"35,000"
28/02/2019,"35,000",85.3,122.7,156.9,,"35,000"
07/03/2019,"35,000",32.7,33.3,41.4,,"35,000"
14/03/2019,"35,000",32.7,33.3,41.4,,"35,000"
21/03/2019,"35,000",32.7,33.3,41.4,,"35,000"
28/03/2019,"35,000",32.7,33.3,41.4,,"35,000"
07/04/2019,"34,000",145.5,94.3,193.8,,"34,000"
14/04/2019,"34,000",145.5,94.3,193.8,,"34,000"
21/04/2019,"32,400",145.5,94.3,193.8,,"32,400"
28/04/2019,"32,400",145.5,94.3,193.8,,"32,400"
07/05/2019,"32,000",0.9,2.3,126.9,,"32,000"
14/05/2019,"32,000",0.9,2.3,126.9,,"32,000"
