Date,Average_Price,Rainfall_Kurunegala,Rainfall_Puttalam,Rainfall_Colombo,Temp_Kurunegala,Temp_Puttalam,Temp_Colombo
21/04/2020,"38,216",264.3,181.5,245.6,0,0,0
28/04/2020,"41,071",264.3,181.5,245.6,0,0,0
07/04/2020,"43,388",264.3,181.5,245.6,0,0,0
14/04/2020,"44,162",264.3,181.5,245.6,0,0,0
21/04/2020,"43,388",264.3,181.5,245.6,0,0,0
28/04/2020,"44,162",264.3,181.5,245.6,0,0,0
07/05/2020,"44,241",188.3,84.3,392.4,0,0,0
14/05/2020,"47,098",188.3,84.3,392.4,0,0,0
21/05/2020,"50,970",188.3,84.3,392.4,0,0,0
28/05/2020,"50,402",188.3,84.3,392.4,0,0,0
07/06/2020,"48,269",153,44.7,184.9,0,0,0
14/06/2020,"48,118",153,44.7,184.9,0,0,0
21/06/2020,"55,319",153,44.7,184.9,0,0,0
28/06/2020,"55,017",153,44.7,184.9,0,0,0
07/07/2020,"48,743",111.2,16.8,121.9,0,0,0
14/07/2020,"50,268",111.2,16.8,121.9,0,0,0
21/07/2020,"53,628",111.2,16.8,121.9,0,0,0
28/07/2020,"54,505",111.2,16.8,121.9,0,0,0
07/08/2020,"55,115",98,17.1,119.5,0,0,0
14/08/2020,"55,115",98,17.1,119.5,0,0,0
21/08/2020,"56,886",98,17.1,119.5,0,0,0
28/08/2020,"54,592",98,17.1,119.5,0,0,0
07/09/2020,"53,624",165.3,67.8,245.4,0,0,0
14/09/2020,"52,794",165.3,67.8,245.4,0,0,0
21/09/2020,"55,463",165.3,67.8,245.4,0,0,0
28/09/2020,"56,494",165.3,67.8,245.4,0,0,0
07/01/2019,"36,000",0,0.2,15.4,0,0,0
14/01/2019,"36,000",0,0.2,15.4,0,0,0
21/01/2019,"36,000",0,0.2,15.4,0,0,0
28/01/2019,"36,000",0,0.2,15.4,0,0,0
07/02/2019,"35,000",85.3,122.7,156.9,0,0,0
14/02/2019,"35,000",85.3,122.7,156.9,0,0,0
21/02/2019,"35,000",85.3,122.7,156.9,0,0,0
28/02/2019,"35,000",85.3,122.7,156.9,0,0,0
07/03/2019,"35,000",32.7,33.3,41.4,0,0,0
14/03/2019,"35,000",32.7,33.3,41.4,0,0,0
21/03/2019,"35,000",32.7,33.3,41.4,0,0,0
28/03/2019,"35,000",32.7,33.3,41.4,0,0,0
07/04/2019,"34,000",145.5,94.3,193.8,0,0,0
14/04/2019,"34,000",145.5,94.3,193.8,0,0,0
21/04/2019,"32,400",145.5,94.3,193.8,0,0,0
28/04/2019,"32,400",145.5,94.3,193.8,0,0,0
07/05/2019,"32,000",0.9,2.3,126.9,0,0,0
14/05/2019,"32,000",0.9,2.3,126.9,0,0,0
21/05/2019,"31,400",0.9,2.3,126.9,0,0,0
28/05/2019,"30,000",0.9,2.3,126.9,0,0,0
07/06/2019,"30,000",156.4,40.7,257.2,0,0,0
14/06/2019,"30,000",156.4,40.7,257.2,0,0,0
21/06/2019,"30,000",156.4,40.7,257.2,0,0,0
28/06/2019,"30,000",156.4,40.7,257.2,0,0,0
07/07/2019,"30,000",96.2,2.3,136.1,0,0,0
14/07/2019,"30,000",96.2,2.3,136.1,0,0,0
21/07/2019,"30,000",96.2,2.3,136.1,0,0,0
28/07/2019,"31,000",96.2,2.3,136.1,0,0,0
07/08/2019,"31,000",137.1,88.3,288.4,0,0,0
14/08/2019,"31,000",137.1,88.3,288.4,0,0,0
21/08/2019,"31,000",137.1,88.3,288.4,0,0,0
28/08/2019,"31,000",137.1,88.3,288.4,0,0,0
07/09/2019,"29,000",157.3,288.5,609.8,0,0,0
14/09/2019,"28,000",157.3,288.5,609.8,0,0,0
21/09/2019,"27,000",157.3,288.5,609.8,0,0,0
28/09/2019,"28,000",157.3,288.5,609.8,0,0,0
07/10/2019,"30,000",479.8,576.1,354.9,0,0,0
14/10/2019,"31,000",479.8,576.1,354.9,0,0,0
21/10/2019,"32,000",479.8,576.1,354.9,0,0,0
28/10/2019,"35,000",479.8,576.1,354.9,0,0,0
07/11/2019,"36,000",322.1,286.1,433.6,0,0,0
14/11/2019,"36,000",322.1,286.1,433.6,0,0,0
21/11/2019,"36,000",322.1,286.1,433.6,0,0,0
28/11/2019,"38,000",322.1,286.1,433.6,0,0,0
07/12/2019,"39,000",322.1,286.1,433.6,0,0,0
14/12/2019,"40,000",156.1,198.9,250.3,0,0,0
21/12/2019,"40,000",156.1,198.9,250.3,0,0,0
28/12/2019,"40,000",156.1,198.9,250.3,0,0,0
07/02/2018,"48,000",14.7,37.7,108.8,0,0,0
14/02/2018,"48,000",14.7,37.7,108.8,0,0,0
21/02/2018,"48,000",14.7,37.7,108.8,0,0,0
28/02/2018,"48,000",14.7,37.7,108.8,0,0,0
07/03/2018,"48,000",148,13.4,68.8,0,0,0
14/03/2018,"48,000",148,13.4,68.8,0,0,0
21/03/2018,"46,000",148,13.4,68.8,0,0,0
28/03/2018,"46,000",148,13.4,68.8,0,0,0
07/04/2018,"44,000",178.9,290.2,265,0,0,0
14/04/2018,"44,000",178.9,290.2,265,0,0,0
21/04/2018,"44,000",178.9,290.2,265,0,0,0
28/04/2018,"44,000",178.9,290.2,265,0,0,0
07/05/2018,"42,000",652.5,390,421.7,0,0,0
14/05/2018,"42,000",652.5,390,421.7,0,0,0
21/05/2018,"42,000",652.5,390,421.7,0,0,0
28/05/2018,"42,000",652.5,390,421.7,0,0,0
07/06/2018,"42,000",159.6,56.7,155.8,0,0,0
14/06/2018,"40,000",159.6,56.7,155.8,0,0,0
21/06/2018,"40,000",159.6,56.7,155.8,0,0,0
28/06/2018,"40,000",159.6,56.7,155.8,0,0,0
07/07/2018,"40,000",44.6,1.1,68.9,0,0,0
14/07/2018,"40,000",44.6,1.1,68.9,0,0,0
21/07/2018,"40,000",44.6,1.1,68.9,0,0,0
28/07/2018,"40,000",44.6,1.1,68.9,0,0,0
07/08/2018,"38,000",70.7,0,63.9,0,0,0
14/08/2018,"38,000",70.7,0,63.9,0,0,0
21/08/2018,"38,000",70.7,0,63.9,0,0,0
28/08/2018,"36,000",70.7,0,63.9,0,0,0
07/09/2018,"38,000",121,17.6,263.7,0,0,0
14/09/2018,"38,000",121,17.6,263.7,0,0,0
21/09/2018,"40,000",121,17.6,263.7,0,0,0
28/09/2018,"40,000",121,17.6,263.7,0,0,0
07/10/2018,"39,000",471.2,320.8,539.7,0,0,0
14/10/2018,"39,000",471.2,320.8,539.7,0,0,0
21/10/2018,"37,000",471.2,320.8,539.7,0,0,0
28/10/2018,"37,000",471.2,320.8,539.7,0,0,0
07/11/2018,"37,000",350.4,205.5,420.7,0,0,0
14/11/2018,"37,000",350.4,205.5,420.7,0,0,0
21/11/2018,"37,000",350.4,205.5,420.7,0,0,0
28/11/2018,"37,000",350.4,205.5,420.7,0,0,0
07/12/2018,"36,000",99.4,74.4,139.5,0,0,0
14/12/2018,"36,000",99.4,74.4,139.5,0,0,0
21/12/2018,"36,000",99.4,74.4,139.5,0,0,0
28/12/2018,"36,000",99.4,74.4,139.5,0,0,0
